code	term
1324.3.1.1	responsable de transporte fluvial
1324.3.1.2	directora de transporte marítimo
1324.3.1.2	director de transporte marítimo
1324.3.1.2	responsable de transporte marítimo
1324.3.1.3	directora de operaciones ferroviarias
1324.3.1.3	director de operaciones ferroviarias
1324.3.1.4	directora de operaciones en el sector del transporte ferroviario
1324.3.1.4	directora de operaciones en el sector del transporte por carretera
1324.3.1.4	director de operaciones en el sector del transporte ferroviario
1324.3.1.4	director de operaciones en el sector del transporte por carretera
1324.3.1.5	directora de la división de transporte por carretera
1324.3.1.5	directora de transporte por carretera
1324.3.1.5	director de la división de transporte por carretera
1324.3.1.5	director de transporte por carretera
1324.3.1.6.10	directora de distribución de electrodomésticos
1324.3.1.6.10	director de distribución de electrodomésticos
1324.3.1.6.11	directora de distribución de equipos electrónicos y de telecomunicaciones
1324.3.1.6.11	director de distribución de equipos electrónicos y de telecomunicaciones
1324.3.1.6.11	responsable de distribución de equipos electrónicos y de telecomunicaciones
1324.3.1.6.12	directora de distribución de pescado y marisco
1324.3.1.6.12	director de distribución de pescado y marisco
1324.3.1.6.12	responsable de distribución de pescado y marisco
1324.3.1.6.13	directora de distribución de flores y plantas
1324.3.1.6.13	director de distribución de flores y plantas
1324.3.1.6.13	responsable de distribución de flores y plantas
1324.3.1.6.14	directora de distribución de frutas y verduras
1324.3.1.6.14	director de distribución de frutas y verduras
1324.3.1.6.14	responsable de distribución de frutas y verduras
1324.3.1.6.15	directora de distribución de muebles, alfombras y equipos de iluminación
1324.3.1.6.15	director de distribución de muebles, alfombras y equipos de iluminación
1324.3.1.6.15	responsable de distribución de muebles, alfombras y equipos de iluminación
1324.3.1.6.16	directora de distribución de equipo de ferretería, fontanería y calefacción
1324.3.1.6.16	director de distribución de equipo de ferretería, fontanería y calefacción
1324.3.1.6.16	responsable de distribución de equipo de ferretería, fontanería y calefacción
1324.3.1.6.17	directora de distribución de artículos de cuero y piel
1324.3.1.6.17	director de distribución de artículos de cuero y piel
1324.3.1.6.17	responsable de distribución de artículos de cuero y piel
1324.3.1.6.18	directora de distribución de artículos para el hogar
1324.3.1.6.18	director de distribución de artículos para el hogar
1324.3.1.6.18	responsable de distribución de artículos para el hogar
1324.3.1.6.19	directora de distribución de animales vivos
1324.3.1.6.19	director de distribución de animales vivos
